,DATE,GDP,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,DTCOLNVHFNM,DTCTHFNM,INVEST
0,1960-03-01,0.1268474766217999,0.0708072101935101,0.6564874282748572,0.708177212728542,0.5355287007685798,0.7020122604949255,0.6650687937928256,0.7459017184930872,0.8207458924910778,0.772163249215071,0.7474733278030469,0.1500320109760777,0.9163399006722324,0.5366036067402405,0.4401837042765541,0.1262687646748936,0.6623081142717308,0.653925255261116,0.5670563527857926,0.8970452713330148,0.8656871264691179,0.3505668858100396,0.3501438554077045,0.4047233744013199,0.3695398804615802,0.2991406870212628,0.2192606474561897,0.1245419414466951,0.0730370546567256,0.0969026379923576,0.2871349033394575,0.3267458420142973,0.5638915758340368,0.5304271721224738,0.429757382543892,0.0206139747541489,0.6703623129956415,0.6995017963325051,0.6244507101793066,0.6052192063378452,0.5434637952634197,0.540523060631956,0.5859915170929406,0.6208485291801004,0.6724293122970593,0.9513017451140462,0.5315490520829552,0.9470335062586186,0.5249893155880465,0.6064312320342922,0.0,0.3685194786589639,0.5290234679066708,0.4012727648385447,0.5429745255398883,0.2290598290598289,0.212802782258265,0.4379512477658491,0.3510193408091911,0.0,0.715377146089472,0.5949799481045468,0.0281558663913031,0.0107228292591767,0.0979858986242998,0.0038406131899086,0.0,0.1542468196450169,0.4279168713202261,0.3389540020727821,0.0106370551810217,0.4458225247501082,0.4072457755778577,0.4004977643581964,0.7128268396055585,0.148085679855582,0.226220010545214,0.5337961141422757,0.514667559962793,0.5456771888314936,0.5687148145763951,0.4865664192720003,0.4749201680143995,0.4947646819818752,0.4185360087838485,0.8334371823308566,0.807814208284341,0.8085878049917146,0.8061857558788355,0.651093270313875,0.5834092524718711,0.4764525095508118,0.3485267104711548,0.5827548220608462,0.4533786404790065,0.5702644030811269,0.5808884477550686,0.5778800902014087,0.6549027915018788,0.5149616495722735,0.6121565912625176,0.4869326030641713,0.4870483533775046,0.4111019419417571,0.4538017500166196,0.452889135625512,0.499323383550802,0.5028925582518788,0.4092635962748649,0.4428574671787527,0.3950513770220324,0.4151938858020212,0.4006912466100586,0.4018716149147554,0.4117362556943978,0.4912998784582679,0.4252583794840298,0.3400661768053135,0.8374627338789116,0.2549699260207696,0.511368033570846,0.4799303530222491,0.198512017903378
1,1960-06-01,0.203986007749562,0.0720835289700679,0.6222506637829569,0.4333763242015552,0.3843968473563317,0.5321883826511258,0.4252927000197596,0.5644306420110027,0.5426845516061896,0.6204149524338225,0.4831002684844744,0.1569515393064883,0.5692136871967058,0.2439284352049257,0.1227140055684045,0.1222912112004483,0.4314122385407721,0.5519115879153188,0.5199410075322572,0.8517132120420354,0.5528560722298558,0.3149434825677605,0.7012919557397845,0.7978040272776024,0.380703314018549,0.1086046482739773,0.26936704686669,0.1287242105815525,0.0659144950781747,0.0920429027499483,0.2299695655414032,0.3771586988164144,0.4875301593281893,0.4892054730572497,0.4155245399948789,0.879641111433664,0.4219242084549705,0.3383181586088054,0.5537609369288834,0.5093412194380017,0.5341570331858998,0.5305446306553248,0.554033090162343,0.587899904916133,0.3351500798631007,0.9454016457902964,0.2810705687502267,0.9359399375686952,0.4895035332774975,0.5589465377116792,0.9918383639900245,0.3509797210781199,0.4783276741252162,0.3874445648572635,0.4956038752183895,0.6359097483712868,0.2007720083755481,0.4311159025629869,0.5958864545904009,0.2787784905132233,0.5621353260209023,0.5551000358767553,0.028172039807777,0.0110960306952777,0.0989818708304438,0.0054232326316837,0.0029771934640283,0.1566195679663339,0.5633960927635088,0.4049617395574845,0.0114280740514306,0.4580094977210159,0.6389213177869536,0.6439377815766811,0.4127809733827005,0.1430685435289856,0.2048672931484854,0.4992868756853783,0.5480364716717168,0.5782185579660155,0.6086686084607329,0.557246579616789,0.5382068277852408,0.5117968156547239,0.4204801589372992,0.7206152293574373,0.7123144180057897,0.6930933111162809,0.7185043216027899,0.6355227727889592,0.5882255206021597,0.4987221613727638,0.3740407073740406,0.5803842217199837,0.4508353819905762,0.5378255118358606,0.7856134868921166,0.3650216111178276,0.3812959867207299,0.5649618328083643,0.489290505992459,0.5576699855552859,0.5934174326921979,0.4433757727671304,0.4759643744425382,0.4997059779471948,0.3984474046263174,0.4114429449444436,0.4509570789949813,0.3993476960426796,0.4362026565515139,0.4464774107409377,0.4325362198572291,0.4096982291125736,0.4657467165644304,0.4377858576590029,0.4630540023560881,0.386720184958027,0.180089183855921,0.4414737711535918,0.483570525121719,0.50979283035609,0.7800784593053128
2,1960-09-01,0.2510831279594916,0.0,0.8654450148662174,0.8618322008801591,0.871290334456472,0.7309349740154957,0.7674592538880229,0.8064570086358918,0.8318295668566624,0.8453550699117379,0.5958311996368375,0.0,0.7254004073867362,0.61432160913635,0.5234659083878974,0.0,0.7310784398692277,0.7312396274030017,0.6696280140444817,0.4320303204283524,0.5396660218480546,0.1638615302529569,0.9011041070427142,0.9855958868491956,0.2112674835171126,0.4025227802070716,0.0748449494357331,0.0628176168209211,0.0402142401632918,0.0586007857168358,0.5734173033026457,0.2317751954767558,0.8619368022101015,0.8172192935082339,0.5815887505567169,0.6840506579552095,0.8585185398519213,0.8392916367636964,0.8928128509172597,0.8922269828109035,0.8403214043769449,0.9258235589876028,0.8503918299151577,0.9645203201982387,0.9241520806073272,0.4657638786457511,0.5105324395917599,0.4588871638339042,0.2814001466384239,0.348175187399618,0.5682841005604912,0.1923899889115658,0.2680071425031326,0.2219910215162802,0.3332025568725086,0.4842480831776873,0.0836922305053213,0.2644640350429827,0.7783341372462487,0.7606978718271848,0.7534721919673977,0.5182852612049579,0.0,0.0,0.0,0.0,0.0027136450345857,0.1497720004839471,0.9106952767274336,0.8104330266708426,0.0,0.8232122782923992,0.6124034851967837,0.6151668020247814,0.543740940199868,0.0693776329348261,0.0993953976212481,0.5455765251435855,0.6192456037770284,0.6545610547891011,0.6571976888188337,0.5834344004598381,0.5673955696914921,0.5015385941374106,0.3838639741950014,0.7027242501097453,0.8003990613640555,0.7551678843332091,0.7080868084718382,0.6378358565392894,0.6104861698664299,0.5306643781543725,0.3797225578255881,0.7226160253236955,0.5650759041633431,0.6769244860322264,0.7317781539182613,0.8208000306054251,0.8890228201752891,0.9651003491954038,0.699168078753218,0.5862404718759101,0.6630692761781083,0.8678122544910936,0.791892695040182,0.7072997019523051,0.8305587349443209,0.9097141504567196,0.7661966337732578,0.8345488445102169,0.8029621359038989,0.8575393577573136,0.8464648868469555,0.8062264437552189,0.7946063009476538,0.8426311524556767,0.8203433495165515,0.7356504167959808,0.7039429568707696,0.8494634924054416,0.6015253811214509,0.6458447770998192,0.7363702430973388
3,1960-12-01,0.386110227674617,0.072355806138576,0.4224308817202824,0.3600616956197733,0.3056186381758217,0.3780484830274957,0.30932663931473,0.3963295595589468,0.3525569869507679,0.4155992661159205,0.3028632605877511,0.1554324093036507,0.4778834777747817,0.1888118490870063,0.039741479727817,0.1090236294953893,0.3333187021013072,0.5796608509546868,0.506015158465798,0.7704307020101879,0.4478085835203392,0.1992993830994461,0.4911155627324726,0.4421662850567143,0.5013760560775626,0.2437919309613532,0.3141850135453511,0.2187641113256141,0.1056705753723023,0.160061762763252,0.5633735593977156,0.5148275575948144,0.4063246933769886,0.2831337905804791,0.3792398811453538,0.2444804001866419,0.3110975795032125,0.2284698490358324,0.4375706772695004,0.5040271072088246,0.4292125752181157,0.4654035381394223,0.4590311696521031,0.5660455173620552,0.5941183278606385,0.91444992068358,0.2873335067730202,0.9043806842947064,0.445261249982412,0.6437634627772443,0.4814048616974431,0.2752252030176221,0.4578235361251709,0.3647949877080336,0.476819503367249,0.6045296505488813,0.1799630683887337,0.4009625956133725,0.3267381786886779,0.2437806169973445,0.3971111424989016,0.4465163366561947,0.0292717936496805,0.0130948077146945,0.1085174879407508,0.0045546375851252,0.0029597028447938,0.1512453470581107,0.5952077996532319,0.4749440759234803,0.0127313290383293,0.4573287396139496,0.6368142424492702,0.6486687682837626,0.4024877946572482,0.1361984367118772,0.1267220968646685,0.5388266262753375,0.5897254435974096,0.6291309540742757,0.6666077996494004,0.6329025017875028,0.6097236177805904,0.5679889244265106,0.4417612016586435,0.8882848821231208,0.8546928955999752,0.8351341936777258,0.8391642327326782,0.7847911755102568,0.7309875096571983,0.6408279377310047,0.5020352082852082,0.633423315950483,0.4849351823118809,0.5483220478493773,0.6126200794562263,0.4646920319267367,0.4539990866317623,0.5493853275370323,0.5784443716410792,0.5939608221228252,0.4706046826096935,0.463926050235892,0.4588876988601785,0.6066261528582753,0.4561906843892958,0.5257711575525105,0.5403984423916636,0.4110923980425263,0.5041395012721899,0.5118158131484738,0.499477629121371,0.4211971096234366,0.439199457083898,0.5100698404425982,0.4428713235149808,0.4346269884708725,0.5477770436098954,0.4434130632083067,0.5150068291265747,0.5239978878222201,0.5273614509463764
4,1961-03-01,0.5271279100370811,0.0744837208453483,0.7299323370291894,0.6796226022901921,0.504557694714425,0.5396021786469661,0.6497913677510424,0.6467797124425608,0.5685545504252335,0.5650593383121573,0.3727924614969337,0.1576314899336549,0.6479469746016251,0.6048588189909149,0.471497765038156,0.114105012572056,0.6396233530381052,0.540086175799511,0.5100019730038761,0.7430514725056474,0.5988461898726269,0.168966045596969,0.500428701042773,0.540456001152785,0.5584125864928066,0.6479475637836194,0.3350949067173958,0.2322683729179218,0.1318599915966183,0.1926782144497292,0.6329920800464848,0.5544926493796176,0.4882203320552213,0.497310082053298,0.396964034934995,0.6861264386525877,0.4761897679179367,0.3934714045740545,0.6017097662413545,0.5043033592993277,0.4623949685322748,0.4723527576606041,0.5246080364262794,0.549302235260956,0.4757497073587663,0.9299371717276406,0.6252392416663641,0.9155490974288264,0.472604784714715,0.5217047042623936,0.8402554139585732,0.3297039067233641,0.4749572843755488,0.3695511990602613,0.4546936246871152,0.4871794871794871,0.1807685165615714,0.4186285111895669,0.4263820247742486,0.4208636284098039,0.4024735699780133,0.2427630701029263,0.0291829810989508,0.0128547127726378,0.1115895842436821,0.0031754935350545,0.0006380377328211,0.1555377994198164,0.4490430125396133,0.4431249973841158,0.0131679789484318,0.4168917929115915,0.7954110129060463,0.7881476272733945,0.253232475317856,0.1727470957913302,0.1172538952157402,0.545865389763169,0.6140368103208516,0.6535663658280679,0.6678408450971429,0.5728232608343042,0.5386798618983655,0.4860160184664098,0.4065222899570686,0.9254560424643932,0.8977847097592673,0.8625831564073065,0.8573607727366196,0.7925450798376497,0.739733046072649,0.656810304366438,0.5170285456396567,0.5845437352051801,0.4444356254876273,0.5505282124415966,0.6094819262499166,0.4690740498738179,0.5163537731969926,0.5542510926909759,0.5192407048874607,0.4869326030641713,0.5433502165741644,0.4240524647357536,0.4538017500166196,0.4526030838366559,0.3949213067033373,0.4281153539725686,0.4087832056092652,0.4432728973749641,0.3954755433957615,0.4158283703195484,0.4012385402375528,0.3997605183788103,0.5439891892723538,0.4302609252972148,0.4333679891760909,0.4391977490974655,0.4788854354345631,0.4128645985535827,0.4173696125573505,0.4050389615333331,0.2800329731377553
5,1961-06-01,0.6124338994181444,0.0774737675142056,0.7402091692773507,0.585375857324601,0.6369384209006319,0.4942218297478661,1.0,0.9132183029571794,0.9111588106324257,0.9788724878992412,0.9365834783276664,0.1664950890545395,0.7927251844683059,1.0,1.0,0.1276865360863455,1.0,0.6881742897490926,0.4168800187672852,0.7798944857204959,0.7062496645248447,0.1740307032616098,0.473776714262949,0.550881733425995,0.5809083824116488,0.7287057625181669,0.2833908323063211,0.2233675870679014,0.1600627346307644,0.2095909198046425,0.7106653654560458,0.4665357890231759,0.576261380724962,0.6574836493494587,0.4335105334801359,0.5203111988627733,0.7132745605522568,0.7764846162386865,0.6181674604486591,0.5456015582156635,0.4873454037170312,0.5200862694163727,0.461320143964108,0.6092584031664592,0.5655784192463585,0.9347193590970936,0.7495215166672715,0.9266112238413492,0.4848769792687417,0.6359706538679508,0.5060657027952241,0.3633746095953704,0.4561004653401994,0.3987405370612374,0.5476431430894978,0.4666789791405175,0.2055430692239918,0.456690112737478,0.8341353607876278,0.6143150503830153,0.4935629880357531,0.2531998554282807,0.0300376155012596,0.0136341788028135,0.1180208658853648,0.0048263303773274,0.0036456139460315,0.1577491752692834,0.5587647205099334,0.4975452167187738,0.0127856139610077,0.4008129745512357,0.6050081977411877,0.6142104301011801,0.4337115340322988,0.1947120924950529,0.0940192069152211,0.5348594775153799,0.6075074624163125,0.6515494829558746,0.6817088414760208,0.6120128282277756,0.5832136705268636,0.5446043038377191,0.4204801589372994,0.9895015089684214,0.994025332460067,0.9436317416846276,0.944405467446437,0.829513825850136,0.7780170098518846,0.6951442132165024,0.5475475475475474,0.5977356424391638,0.4709873066862145,0.5326916546610186,0.7080796639992312,0.5096649863691558,0.588097148449611,0.4469636455672293,0.545862359201248,0.5576699855552859,0.5798166845586223,0.4264664843403175,0.4759643744425382,0.4996118965803451,0.5021718098472612,0.4490537679291167,0.4818185720840347,0.4484721709771954,0.477563519218026,0.4464774107409377,0.4325362198572291,0.4239396899103351,0.4740280032985282,0.4667806433293499,0.4666311406288571,0.4811047234855935,0.5034471323480098,0.4910869246206439,0.5172177764729615,0.5367938406292249,0.9280346018786668
6,1961-09-01,0.6424858208469855,0.0813221942582929,0.6445813958936937,0.531026712217421,0.6677032567022346,0.5558390550830444,0.7575469320015451,0.7123308600205477,0.6593855247076715,0.5675692559527686,0.3684993289573197,0.1736554453670404,0.8086776577900785,0.7669119048606878,0.7310195052132691,0.1379036619674312,0.739325658859581,0.648262788739474,0.627318838021306,0.8098869637382147,0.7179794891659839,0.2053949677602714,0.3502863068067724,0.4486834255649929,0.5572325283165578,0.3100505571220951,0.2887621888451588,0.2064215891770141,0.1619136601799733,0.2010874305572663,0.2350791326108508,0.4196863456120788,0.5964944825860365,0.6127408357244167,0.4624765984096518,0.559785189836186,0.6457488381592618,0.6780917728479626,0.5975503876202007,0.6007560853531884,0.5473612807302597,0.5835059146388513,0.5341698451960257,0.5948630432523434,0.6153350846383392,0.9410532032513564,0.8278669348157061,0.930470238448343,0.5248334198691507,0.7081580336928827,0.6122624258037003,0.3978720213844198,0.502010547686662,0.4330814783552522,0.6602995476370997,0.5652075040344271,0.2223170817036721,0.4736427804161726,0.5894925077622661,0.587611423350717,0.5831491078895803,0.3522168780016193,0.0310370007136684,0.014827845787016,0.1238483425510514,0.0090383826140819,0.0106499863695171,0.1570476896043513,0.475933523636754,0.3924014678682784,0.0131685014705217,0.4357588144228816,0.6468515224869452,0.6457510800554246,0.4142932564396636,0.1996961022916485,0.086998549005299,0.5479330028232069,0.5921072970487568,0.645999029131011,0.6604836849044834,0.6132355621220443,0.5946567783188585,0.5501378844941385,0.4484610482190906,1.0,1.0,0.9668767593485336,0.9672078186121208,0.8889890494107789,0.816357588804062,0.7253638584854357,0.5738765367932034,0.6246868773331115,0.4658546766802224,0.5834931860327555,0.7269659865229359,0.439909059059204,0.5285898897189203,0.5822482195869773,0.5787371059298314,0.5259565103314889,0.4680049476996208,0.4605372410996082,0.4810730911220847,0.5067230087459692,0.4489691862017935,0.4738526694124828,0.416644660893181,0.4562158606854285,0.4476358293950426,0.4587252008995162,0.4492992440936192,0.4234408271964426,0.4673220818917928,0.4928356158610057,0.4506925830673642,0.3885891991006537,0.4955868388377851,0.2922487381853816,0.4432451189682174,0.4426159172349983,0.4234711959432643
7,1961-12-01,0.6125001934833669,0.0845842176204633,0.76627961573976,0.7226761442066296,0.6049447559494455,0.666963900685094,0.9360130333717528,0.9651026788096662,1.0,0.961467288555428,0.8782051162080444,0.1831786497976907,0.8222912364959383,0.8157805058560612,0.6810732970290199,0.1538181037729827,0.9709085425451174,0.6034866140466839,0.7564601396441706,0.839716891014459,0.6818935967621713,0.2527630143265492,0.4280351394007612,0.5957966906605615,0.4938211478363137,0.2825482506016149,0.2696843400636866,0.1830408760832177,0.1323222545756317,0.1623779798480736,0.1889722967987206,0.3658957295412256,0.6078312291202526,0.6924223253869776,0.4247925236178908,0.6335132449811467,0.7390947543836333,0.7658618256175896,0.6996549566077059,0.571337553058403,0.5482775752073529,0.545820511538124,0.5892264387929156,0.5920218184473797,0.5069619798068482,0.9559921467127024,0.7557844546900646,0.9510242529314352,0.5362998933805095,0.6813127194034267,0.6028480269961431,0.3981955443598167,0.5323147223236055,0.4474257980768302,0.6552398503539064,0.4711963172155479,0.2286960470549804,0.5180356466343762,0.76954833625604,0.6125600112027091,0.5695387554695873,0.2452495464436133,0.0317033305086016,0.0157978751128943,0.1292929051026776,0.0048275071871167,0.0037192715743428,0.1520844839117303,0.6463335232516101,0.5107612283353911,0.0138991505859968,0.433054935242638,0.6950542467017761,0.705044388345405,0.4048864392889769,0.2141278384552936,0.1325562066664193,0.5578833772556955,0.6311292979132673,0.6738038164244198,0.6953021769054064,0.6260567207111295,0.6172247582375274,0.5395557680012482,0.4153310202397274,0.7747551196207053,0.8657548425026301,0.8380139457532241,0.8398953044020752,0.7837808054422298,0.7288693010718218,0.6393675507284489,0.4933598662765329,0.633981204881076,0.4777886759235903,0.5513770247569179,0.6202868598808792,0.536689077082038,0.5911127712001257,0.5889319851438025,0.6601768825639852,0.5939608221228252,0.5267629408357608,0.4471416094592979,0.4590314809348548,0.4653438297732604,0.4564344457972744,0.5257711575525105,0.4482863754508359,0.5069447547369519,0.4212773595941584,0.4724143921844886,0.4584990944011882,0.415299425222611,0.4566496312186824,0.4960024823990169,0.4392504396613529,0.4346269884708725,0.4531412168080001,0.5906916098985807,0.5866870454486023,0.6221344267802704,0.3341452512908256
8,1962-03-01,0.5395585291031703,0.087442529781949,0.6932563891815997,0.5681916849196769,0.6290138743602948,0.672951941477212,0.7048360019687958,0.7159033135689546,0.7188227014245376,0.64318335661073,0.5076726273373919,0.186260975992254,0.7988675663444716,0.6020361564967867,0.5398660285474107,0.158747792414845,0.6984137941238785,0.6296488547509705,0.6131445026726268,0.8495111229964474,0.6395913628259834,0.2979528233011938,0.5054089599734221,0.6343385099806573,0.426201692270948,0.1634935682803461,0.2403515373693359,0.1365115449434981,0.1095451240979727,0.1274767035120022,0.1845599438709111,0.3387494221418311,0.588310107559117,0.6257094791914602,0.4360582389174891,0.5113454342872155,0.6774121810558114,0.7164133385858928,0.6174460850405861,0.5835630927851907,0.5696095232573507,0.6561685739484657,0.5748988571580701,0.5844246308584592,0.5418724321845094,0.9513017451140462,0.5315490520829551,0.9481995954745368,0.5264817523650644,0.6584225104397754,0.6400383036012569,0.4004852437823992,0.535631557004919,0.450015658595419,0.6758605131393259,0.5128205128205128,0.2410883572883242,0.5016026153112492,0.4355619234774982,0.5814067608851773,0.6423319976167734,0.3937131627623629,0.031761248630393,0.0157428115701192,0.1331869763675051,0.0039429392906554,0.0012760754656423,0.1562478382959561,0.4214796145720746,0.4313973106017961,0.0145407653992311,0.430687456171432,0.509175415429211,0.5141847762806832,0.5348840446375835,0.2204591900863425,0.1428486995072919,0.5623812406128126,0.6125312156184568,0.6493519448516393,0.6556674729279283,0.5509167613899096,0.5330540065556626,0.5078876772550731,0.4113277774877807,0.8453876836469003,0.8800855947150195,0.8460245819731916,0.8310421926383306,0.7531406471845982,0.7113490510286052,0.6224912098063796,0.471649833594278,0.5913926279661565,0.4482182786977444,0.5681989234642401,0.6165231775036114,0.4331298971023614,0.4475940974885056,0.4754149919655033,0.507669159006754,0.4869326030641713,0.4731918984159443,0.4490375350591891,0.4757764263977707,0.5090593269634898,0.446106481352866,0.4281153539725686,0.4699518365264603,0.4430824013851778,0.4780651343458434,0.494137922911645,0.4422170749577356,0.4220268477973319,0.4593824341857344,0.4897980255064011,0.4514479671819669,0.4844835715894234,0.6616208949867104,0.4146734297761328,0.4749813822239965,0.4415485446405414,0.3993811491822579
9,1962-06-01,0.4917465646180639,0.0901496451028846,0.6537966412241913,0.5540459682811713,0.4465718624353849,0.4549444797915096,0.592054876104745,0.731899227804355,0.7028730352611033,0.635675092235037,0.5348774073812181,0.1922972587581053,0.7710612154321561,0.4323973835829323,0.3459757829066553,0.1630738138375624,0.590357931612091,0.682166376417066,0.5897762807633775,0.8519683467289205,0.6375421179760475,0.3098859986264023,0.461629897134292,0.5567211539645771,0.4147004011041697,0.3411425661155484,0.2228787502518495,0.1360544328780442,0.0969818371080913,0.1130046673675834,0.225528035247248,0.3464773294242578,0.5846712263584463,0.5997793177403435,0.3986668374353924,0.5855137503273055,0.6317142968019605,0.635132894008185,0.6264560034548077,0.5932890003230951,0.5543320280821125,0.605024531404796,0.5649030095075168,0.6024256603684529,0.5906100392649535,0.9620185362019456,0.5621411375004538,0.9557634542393048,0.5796467146093842,0.7466928208425911,0.5290414367706539,0.4220872394139248,0.6134931329530211,0.4655879342135224,0.6387118618639376,0.605140517602056,0.2430299758903354,0.5498939009289566,0.478902806503328,0.3412247300883694,0.6101531235280618,0.5551000358767553,0.0325739599834101,0.0166871968909589,0.1395257858259744,0.0058325370346709,0.0044355654247624,0.158588312122903,0.6182939210986542,0.5161293742552007,0.0154868751752805,0.4682989021079315,0.0855785904181344,0.0961248868533276,0.9134395444308546,0.1834887446655345,0.1433268445945339,0.542482177907523,0.6127770438746943,0.6456492935888744,0.6634487832221988,0.577783922845909,0.553209108699115,0.4964866545026596,0.4132719276412312,0.7994885380433259,0.8922554209556421,0.8234020925325762,0.7704104101299709,0.6996812721086714,0.6776139229050435,0.6009492515516612,0.4597931264597931,0.5784906943968043,0.4465764598674868,0.5335395146833568,0.8038969550287034,0.509771804216875,0.5541226738205456,0.525799746292702,0.5466491128634616,0.5576699855552859,0.5380696315516118,0.3891498639847506,0.4759168615916773,0.4714345794777764,0.4013862631239226,0.4490537679291167,0.4208117547579358,0.4013245415275664,0.3952519850094089,0.4075692791128262,0.3920907401929894,0.4023461266308787,0.476670824250916,0.436860613128578,0.4483164242211407,0.3893542681914904,0.3222211575001282,0.3933939210883923,0.5078155956917205,0.5146023391276205,0.764986350560246
